episode_id,air_date
1,1995-11-17
2,1995-11-24
3,1995-12-01
4,1995-12-08
5,1995-12-15
6,1995-12-22
7,1995-12-29
8,1996-01-03
9,1996-01-10
10,1996-01-17
11,1996-01-24
12,1996-01-31
13,1996-02-07
14,1996-02-21
15,1996-02-28
16,1996-03-14
17,1996-03-21
18,1996-03-28
19,1996-04-12
20,1996-04-19
21,1996-04-26
22,1996-05-03
23,1996-05-10
24,1996-05-24
25,1996-06-07
26,1996-06-14
27,1996-06-21
28,1996-07-12
29,1996-07-19
30,1996-07-26
31,1996-08-09
32,1996-08-16
33,1996-08-23
34,1996-08-30
35,1996-09-06
36,1996-09-20
37,1996-09-27
38,1996-10-11
39,1996-10-25
40,1996-11-01
41,1996-11-08
42,1996-11-15
43,1996-11-22
44,1996-11-29
45,1996-12-06
46,1996-12-13
47,1996-12-20
48,1997-01-03
49,1997-01-10
50,1997-01-17
51,1997-01-24
52,1997-01-31
53,1997-02-07
54,1997-02-21
55,1997-02-28
56,1997-03-07
57,1997-03-14
58,1997-04-04
59,1997-04-11
60,1997-04-18
61,1997-04-25
62,1997-05-02
63,1997-05-09
64,1997-05-23
65,1997-05-30
66,1997-06-06
67,1997-06-27
68,1997-07-04
69,1997-07-18
70,1997-07-25
71,1997-08-01
72,1997-08-08
73,1997-08-22
74,1997-08-29
75,1997-09-12
76,1997-09-19
77,1997-09-26
78,1997-10-03
79,1997-10-10
80,1997-10-17
81,1997-10-24
82,1997-10-31
83,1997-11-14
84,1997-11-21
85,1997-12-05
86,1997-12-12
87,1997-12-19
88,1998-01-02
89,1998-01-09
90,1998-01-16
91,1998-01-30
92,1998-02-06
93,1998-02-13
94,1998-02-27
95,1998-03-06
96,1998-03-13
97,1998-03-20
98,1998-03-27
99,1998-04-10
100,1998-04-24
101,1998-05-01
102,1998-05-22
103,1998-05-29
104,1998-06-05
105,1998-06-12
106,1998-06-19
107,1998-07-03
108,1998-08-07
109,1998-08-28
110,1998-09-04
111,1998-09-11
112,1998-10-02
113,1998-10-16
114,1998-10-23
115,1998-11-13
116,1998-11-27
117,1998-12-11
118,1998-12-18
119,1999-01-08
120,1999-01-22
121,1999-01-29
122,1999-02-12
123,1999-02-26
124,1999-03-19
125,1999-04-02
126,1999-04-09
127,1999-04-16
128,1999-04-30
129,1999-05-14
130,1999-05-21
131,1999-06-04
132,1999-06-18
133,1999-06-25
134,1999-07-09
135,1999-07-23
136,1999-08-06
137,1999-08-20
138,1999-08-27
139,1999-09-03
140,1999-09-24
141,1999-10-01
142,1999-10-15
143,1999-10-22
144,1999-11-05
145,1999-11-26
146,1999-12-10
147,1999-12-17
148,1999-12-24
149,2000-01-14
150,2000-01-21
151,2000-01-28
152,2000-02-11
153,2000-03-03
154,2000-03-10
155,2000-03-17
156,2000-03-31
157,2000-04-14
158,2000-05-05
159,2000-05-12
160,2000-05-19
161,2000-06-02
162,2000-06-23
163,2000-06-30
164,2000-07-07
165,2000-07-28
166,2000-08-11
167,2000-09-08
168,2000-09-15
169,2000-09-29
170,2000-10-13
171,2000-11-03
172,2000-11-17
173,2000-12-15
174,2000-12-29
175,2001-01-05
176,2001-01-26
177,2001-02-09
178,2001-02-23
179,2001-03-16
180,2001-03-23
181,2001-04-06
182,2001-04-13
183,2001-04-20
184,2001-05-11
185,2001-05-25
186,2001-06-08
187,2001-06-15
188,2001-06-22
189,2001-07-13
190,2001-08-03
191,2001-08-17
192,2001-08-31
193,2001-09-14
194,2001-09-21
195,2001-09-28
196,2001-10-05
197,2001-10-26
198,2001-11-02
199,2001-11-16
200,2001-11-30
201,2001-12-07
202,2001-12-21
203,2002-01-11
204,2002-01-18
205,2002-02-01
206,2002-03-01
207,2002-03-08
208,2002-03-15
209,2002-03-29
210,2002-04-19
211,2002-05-03
212,2002-05-10
213,2002-05-24
214,2002-05-31
215,2002-06-14
216,2002-07-12
217,2002-08-02
218,2002-08-09
219,2002-08-16
220,2002-08-30
221,2002-09-20
222,2002-09-27
223,2002-10-11
224,2002-10-25
225,2002-11-08
226,2002-12-06
227,2002-12-20
228,2003-01-03
229,2003-01-10
230,2003-01-31
231,2003-02-07
